Achmi	Agrsm	Amocan	Andge	Asctu	Elyca	Koecr	Lesca	Liaas	Luppe	Monfi	Panvi	Petpu	Poapr	Schsc	Sornu
0.5301734	0.31452823	0.5146081	0.15149224	0.71569425	0.0735028	0.011818242	0.41522902	0.5199919	0.56870395	0.38874313	0.5837902	-0.017843625	0.18268076	0.62900555	0.7490165
0.22820275	0.8170133	0.4089189	0.10835966	0.06126132	0.5564675	0.19049104	0.036698636	0.5883967	0.5891377	0.041226577	0.51307774	0.7432321	0.38544875	0.37616247	0.34005007
0.31403512	-0.22478385	-0.013534377	-0.02094878	-0.14194746	-0.17537613	0.209857	-0.18477511	0.14077124	-0.22749966	-0.34747878	-0.34633893	0.3325385	-0.39094546	0.2167503	-0.0020977862
0.43001813	-0.19113126	0.26770267	-0.15687712	0.11586299	0.5825769	0.3182782	0.19694829	0.7765502	0.30410808	0.10487949	0.20161436	0.051157057	-0.049775757	0.79389995	-0.0069486676
0.52512383	0.22029114	0.3498934	0.5570817	0.4692338	0.3604322	0.5985826	0.20144601	0.678789	0.58836913	0.12630889	0.5533413	0.16912794	0.75089115	0.2895918	0.59361285
-0.03140772	-0.21620469	0.032610126	0.116845936	-0.0906565	-0.13687906	-0.14243422	-0.17953803	0.10686956	0.1401072	-0.20987825	-0.12855954	0.32027924	0.07837681	-0.2769597	-0.113723546
0.6668925	0.5458677	0.41970488	0.55414397	0.14711395	0.66421694	-0.11295075	0.6743249	0.17817691	0.21877986	0.49933034	0.7654213	0.18499358	0.774516	0.30174798	0.39617792
0.54100484	0.7140278	-0.07933905	0.6362149	0.124907196	0.1832723	0.025625901	0.66499645	0.4290613	0.5808766	0.42523476	0.17094249	0.08710168	0.58799446	0.6639853	0.47906232
