Year,Month,Plot,Strip,Achmi,Agrsm,Amocan,Andge,Asctu,Elyca,Koecr,Lesca,Liaas,Luppe,Monfi,Panvi,Petpu,Poapr,Schsc,Sornu,mean,sd,,
2005,7,176,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,212.983333333333,63.1864217129669,,
2005,7,178,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,288.761,44.079843103169,,
2005,7,185,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64.339,7.62808197823454,,
2005,7,193,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,433.322333333333,123.738343818272,,
2005,7,197,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,179.633333333333,57.1680728048639,,
2005,7,202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,460.077666666667,57.5387758897327,,
2005,7,205,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,127.233666666667,2.37217668444453,,
2005,7,206,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,391.1,33.9763715837934,,
2005,7,208,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,446.177666666667,21.4141370179193,,
2005,7,210,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,242.716666666667,25.3880631049756,,
2005,7,211,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,238.294333333333,28.3738053649645,,
2005,7,224,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71.539,3.7490454785185,,
2005,7,229,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,80.7,26.8235282292741,,
2005,7,230,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,140.361,9.65938065647413,,
2005,7,234,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,224.316666666667,25.0997599235973,,
2005,7,236,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,302.522333333333,75.346776734126,,
2005,7,237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46.45,12.3,,
2005,8,237,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26.25,0,,#VALEUR !
2005,7,256,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,8.14993820017469,,
2005,7,259,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,232.472333333333,95.5204330543413,,
2005,7,265,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,167.111,7.56648980703735,,
2005,7,267,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,264.939,38.699113271495,,
2005,7,268,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99.889,6.30719499196487,,
2005,7,278,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,43.6556666666667,16.8114501720967,,
2005,7,280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75.922,10.3745188804108,,
2005,7,282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60.3,4.00746711361013,,
2005,7,283,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,64.5,13.2443922472872,,
2005,7,286,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,148.966666666667,57.3103520162128,,
2005,7,287,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,43.4333333333333,10.2556203236188,,
2005,7,290,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,95.7386666666667,58.2838653850465,,
2005,7,291,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58.722,9.29223557600645,,
2005,7,292,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,472.3,87.8831060329572,,
2005,7,300,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,307.966333333333,15.3145537171527,,
2005,7,303,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,286.578,32.9294464271721,,
2005,7,304,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57.289,12.4259007185261,,
2005,7,308,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49.7333333333333,4.8913885099791,,
2005,7,311,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,147.838666666667,27.7647179748367,,
2005,7,324,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,36.1946666666667,1.31561046244278,,
2005,7,325,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,186.383333333333,33.6993226671134,,
2005,7,330,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,117.539,20.9106966566556,,
2005,7,333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33.0613333333333,3.74894619267276,,
2005,7,334,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,36.2166666666667,7.21045640410894,,
2005,7,335,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,96.0723333333333,35.88125030647,,
2005,7,338,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,127.425,40.658,,
2005,8,338,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91.167,0,,
2005,7,342,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,377.855333333333,17.5604526580483,,
