"Year","Month","Plot","Strip","Achmi","Agrsm","Amocan","Andge","Asctu","Elyca","Koecr","Lesca","Liaas","Luppe","Monfi","Panvi","Petpu","Poapr","Schsc","Sornu","mean","sd"
2006,7,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,233.85,16.4819598349225
2006,7,3,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,136.983333333333,53.3160258729858
2006,7,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71.2666666666667,19.37451113075
2006,7,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,63.6943333333333,23.9274423529878
2006,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.7886666666667,26.2341793129159
2006,7,12,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,242.605666666667,94.2637794890251
2006,7,14,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,77.7556666666667,29.5994447733212
2006,7,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45.189,18.5692981737778
2006,7,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.521,15.7286772700907
2006,7,24,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,46.6223333333333,10.3494342947923
2006,7,26,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,116.216666666667,8.34644324780854
2006,7,29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,101.194333333333,18.2608204695797
2006,7,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.5723333333333,7.60003273384763
2006,7,33,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,149.627666666667,13.6247320544499
2006,7,44,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,144.178,27.2193572419825
2006,7,48,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,144.522333333333,3.70302446956839
2006,7,56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,234.694333333333,14.0338278297675
2006,7,57,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,236.805666666667,34.8276618636521
2006,7,58,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,87.817,31.28268956894
