"Year","Month","Plot","Strip","Achmi","Agrsm","Amocan","Andge","Asctu","Elyca","Koecr","Lesca","Liaas","Luppe","Monfi","Panvi","Petpu","Poapr","Schsc","Sornu","mean","sd"
2001,6,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40.1223333333333,20.8446379409403
2001,8,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,158.566666666667,74.3825408382609
2001,6,3,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,39.5723333333333,12.0894936572583
2001,8,3,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,93.489,57.6503946965384
2001,6,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38.272,4.11938207340211
2001,8,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49.0666666666667,10.8142909563637
2001,6,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,35.9776666666667,3.05732839075047
2001,8,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,53.7276666666667,13.6158546391901
2001,6,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.1946666666667,17.5530908262777
2001,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.816666666667,49.0861010357198
2001,6,12,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,202.833,44.109314964831
2001,8,12,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,279.477666666667,29.1332259952256
2001,6,14,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,101.339,30.6385624445186
2001,8,14,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,115.761,52.9920126874482
2001,6,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.6443333333333,10.5832287553888
2001,8,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56.8386666666667,13.2033479676768
2001,6,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,145.666666666667,58.3011684979145
2001,8,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110.383333333333,27.101281302223
2001,6,24,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,28.8443333333333,2.58183207991707
2001,8,24,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,61.0943333333333,15.3305543786112
2001,6,26,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,73.247,21.03365081641
2001,8,26,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,138.005333333333,67.1508351714424
2001,6,29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104.911,52.5461445651978
2001,8,29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,212.483333333333,41.9647537292375
2001,6,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40.2943333333333,19.9594536554041
2001,8,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57.639,18.7836899640796
2001,6,33,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,57.0446666666667,24.0950042724397
2001,8,33,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,136.478,63.9892335371089
2001,6,44,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,105.055666666667,4.40228617374604
2001,8,44,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,164.611,50.1564931854956
2001,6,48,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,131.604333333333,13.5582065021726
2001,8,48,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,189.594666666667,56.3972109022738
2001,6,56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,287.239,71.410548016382
2001,8,56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,203.327666666667,28.7734280929858
2001,6,57,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,157.839,23.994482032334
2001,8,57,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,231.711,43.356444834265
2001,6,58,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,55.017,14.6537253511408
2001,8,58,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,74.6723333333333,6.52840385461017
2001,6,69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.3056666666667,14.5178062239291
2001,8,69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.155666666667,8.94824736408694
2001,6,70,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,235.405333333333,22.5178994925272
2001,8,70,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,182.144333333333,16.5439978307005
2001,6,75,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,54.0556666666667,11.8668553917577
2001,8,75,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,149.561,41.7511968052015
2001,6,81,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,76.4113333333333,15.9919958381963
2001,8,81,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,213.111,57.6287147869879
2001,6,83,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,202.878,48.2023122751042
2001,8,83,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,269.883666666667,56.3350443527137
2001,6,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.2666666666667,20.0634007142912
2001,8,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83.7943333333333,12.1027034537284
2001,6,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.7833333333333,13.9815553100822
2001,8,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82.039,10.3233215584908
2001,6,93,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,366.294333333333,54.5972538768104
2001,8,93,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,377.661,27.5996262293532
2001,6,94,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,103.628,26.3188261263048
2001,8,94,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,188.666666666667,31.6031082050836
2001,6,109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42.2556666666667,4.28512126108728
2001,8,109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85.8056666666667,30.6304443904354
2001,6,110,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,316.711,26.1680651685727
2001,8,110,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,262.866666666667,28.2383601074063
