"Year","Month","Plot","Strip","Achmi","Agrsm","Amocan","Andge","Asctu","Elyca","Koecr","Lesca","Liaas","Luppe","Monfi","Panvi","Petpu","Poapr","Schsc","Sornu","mean","sd"
2004,8,178,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,253.055666666667,75.3858731077794
2004,8,185,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,101.278,9.36155126034142
2004,8,193,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,524.333333333333,82.1149508203118
2004,8,197,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,123.555666666667,19.7033634410191
2004,8,202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,457.333333333333,34.5454611908553
2004,8,205,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,130.722333333333,32.0905508972484
2004,8,206,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,453.277666666667,59.5262983693389
2004,8,208,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,490.444333333333,69.1227473235516
2004,8,210,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,377.333333333333,23.3530186818654
2004,8,211,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,255.055666666667,58.0958449250508
2004,8,224,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81.6666666666667,12.8545899022705
2004,8,229,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,103.444666666667,15.4105114847698
2004,8,230,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,101.722333333333,20.356574455334
2004,8,234,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,418.555666666667,46.3849601798782
2004,8,236,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,291.444333333333,24.8075013565566
2004,8,237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66.0556666666667,6.8440385900594
2004,8,256,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.1666666666667,4.37349763410883
2004,8,259,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,290.833333333333,116.436837591126
2004,8,265,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,151.777666666667,2.0832963196712
2004,8,267,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,218.111,19.6687478503335
2004,8,268,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,87.7223333333333,12.703393151263
2004,8,278,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,51.7223333333333,1.22724225626221
