"Year","Month","Plot","Strip","Achmi","Agrsm","Amocan","Andge","Asctu","Elyca","Koecr","Lesca","Liaas","Luppe","Monfi","Panvi","Petpu","Poapr","Schsc","Sornu","mean","sd"
2002,8,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,148.977666666667,43.8835526162391
2002,8,3,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,125.483333333333,52.1706096848493
2002,8,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77.2166666666667,4.79378224601641
2002,8,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,73.4333333333333,11.6303316757902
2002,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.188666666667,8.91836481026028
2002,8,12,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,340.277666666667,17.8712393961794
2002,8,14,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,165.833333333333,16.214226722919
2002,8,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,105.327666666667,7.20472744491806
2002,8,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,240.055333333333,81.41363438775
2002,8,24,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,76.289,10.6876393402223
2002,8,26,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,176.5,51.4440433156908
2002,8,29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,253.278,83.2642138536518
2002,8,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64.8446666666667,18.1899651151092
2002,8,33,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,180.789,44.8574033428894
2002,8,44,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,222.377666666667,65.0841429552715
2002,8,48,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,309.611,61.5434586992531
2002,8,56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,285.833333333333,51.8770194616289
2002,8,57,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,276.944333333333,39.8435121053465
2002,8,58,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,166.411,24.2638173968291
2002,8,69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.9446666666667,1.57729649153931
2002,8,70,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,323.278,88.8454349343097
2002,8,75,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,147.911333333333,26.84545146244
2002,8,81,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,212.616666666667,11.0168256872033
2002,8,83,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,188.555666666667,10.1764858483772
2002,8,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87.022,18.1090099674168
2002,8,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,112.666666666667,18.0405048401892
2002,8,93,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,324.222333333333,36.8092451822757
2002,8,94,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,199.555666666667,19.1283175132809
2002,8,109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,127.944333333333,27.8660269304558
2002,8,110,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,278.555666666667,62.648385434547
2002,8,117,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,160.005666666667,48.0143703928545
2002,8,125,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,261.95,29.1096529121642
2002,8,129,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,201.288666666667,49.8679489340487
2002,8,133,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,262.611,73.5625396153957
2002,8,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92.0556666666667,24.0208075958232
2002,8,137,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,343.944333333333,98.0850963375964
2002,8,138,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,381.611,171.413395942869
2002,8,139,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,444,111.239412646777
2002,8,142,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,128.111,18.8319314463493
2002,8,153,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.1276666666667,6.06617926613523
2002,8,157,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72.561,3.0964551775646
2002,8,163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103.883333333333,16.0382703209819
2002,8,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,134.377666666667,13.381190687761
2002,8,167,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,160.555333333333,47.3807400838029
2002,8,168,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,198,51.3809263508033
2002,8,171,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,226.555666666667,21.9724190192058
2002,8,175,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,417.116666666667,22.1449960086296
2002,8,176,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,194.066666666667,56.6844203894588
2002,8,178,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,279.389,61.6436147112308
2002,8,185,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,183.555333333333,82.3182859245475
2002,8,193,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,603.333333333333,108.54323477255
2002,8,197,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,164.255666666667,50.303710170214
2002,8,202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,621.666666666667,192.653410251559
2002,8,205,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,103.566666666667,43.0133779370506
2002,8,206,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,473.305666666667,31.3990019515837
2002,8,208,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,548.889,119.393497455543
2002,8,210,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,556.999666666667,115.816905309871
2002,8,211,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,296.166666666667,41.7546382440189
2002,8,224,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,136.611,15.2887096250795
2002,8,229,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,158.022333333333,29.0576643398758
2002,8,230,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,132.055333333333,20.4107291447959
2002,8,234,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,357.777666666667,44.5099029081045
2002,8,236,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,329.5,27.3983684307418
2002,8,237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,102.889,14.1027128123162
2002,8,256,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.444666666667,7.94681472177515
2002,8,259,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,314.166666666667,49.5280810741633
2002,8,265,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,218,9.54597258882858
2002,8,267,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,233.444666666667,8.69468405917598
2002,8,268,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,114.166666666667,9.91420604766491
2002,8,278,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,110.622333333333,11.2642797175654
2002,8,280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,155.666666666667,12.8473948937345
