"Year","Month","Plot","Strip","Achmi","Agrsm","Amocan","Andge","Asctu","Elyca","Koecr","Lesca","Liaas","Luppe","Monfi","Panvi","Petpu","Poapr","Schsc","Sornu","mean","sd"
2003,7,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,144.166666666667,45.8589411298992
2003,7,3,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,118.05,16.7979728737329
2003,7,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80.6666666666667,42.4618159631555
2003,7,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,38.778,4.57933495899423
2003,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.1166666666667,6.4985753481479
2003,7,12,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,339.444333333333,87.9038989857042
2003,7,14,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,196.333,72.4292758489273
2003,7,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62.7776666666667,14.3027080264154
2003,7,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,337.777666666667,47.6600544504748
2003,7,24,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,52.0223333333333,7.03170843789442
2003,7,26,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,114.944666666667,17.1753563055391
2003,7,29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,459.716333333333,109.32753795616
2003,7,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33.4443333333333,12.1186408845583
2003,7,33,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,190.055666666667,18.881828748532
2003,7,44,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,217.666666666667,49.5928000307392
2003,7,48,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,282.883333333333,13.0449012346672
2003,8,56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,434.555333333333,44.5027849041183
2003,7,57,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,328.444333333333,42.398782886095
2003,7,58,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,89.0003333333333,26.8524776427717
2003,7,69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.111,15.7821515854673
