"Year","Month","Plot","Strip","Achmi","Agrsm","Amocan","Andge","Asctu","Elyca","Koecr","Lesca","Liaas","Luppe","Monfi","Panvi","Petpu","Poapr","Schsc","Sornu","mean","sd"
2011,8,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,158.38,0
2011,8,3,2,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,91.02,0
2011,8,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.97,0
2011,8,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,43.22,0
2011,8,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.18,0
2011,8,12,2,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,284.93,0
2011,8,14,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,159.73,0
2011,8,16,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32.4,0
2011,8,20,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100.57,0
2011,8,24,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,106.03,0
2011,8,26,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,231.87,0
2011,8,29,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,164.48,0
2011,8,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46.2,0
2011,8,33,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,314.27,0
2011,8,44,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,116.53,0
2011,8,48,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,173.28,0
2011,8,56,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,218.87,0
2011,8,57,2,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,371.45,0
2011,8,58,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,211.25,0
2011,8,69,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.6,0
2011,8,70,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,218.82,0
2011,8,75,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,85.07,0
2011,8,81,2,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,398.48,0
2011,8,83,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,123.32,0
2011,8,87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74.08,0
2011,8,92,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,108.83,0
2011,8,93,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,452.87,0
2011,8,94,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,165.73,0
2011,8,109,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,146.08,0
2011,8,110,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,258.95,0
2011,8,117,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,127.1,0
2011,8,125,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,285.35,0
2011,8,129,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,207.63,0
2011,8,133,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,207.83,0
2011,8,135,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73.82,0
2011,8,137,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,238.7,0
2011,8,138,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,213.9,0
2011,8,139,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,535.77,0
2011,8,142,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49.53,0
2011,8,157,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90.9,0
2011,8,163,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127.45,0
2011,8,165,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,105.38,0
2011,8,167,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70.82,0
2011,8,168,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,224.82,0
2011,8,171,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,169.5,0
2011,8,175,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,388.87,0
2011,8,176,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,94.83,0
2011,8,178,2,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,249.02,0
2011,8,185,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,134.83,0
2011,8,193,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,335.37,0
2011,8,197,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,197.82,0
2011,8,202,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,547.45,0
2011,8,205,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,163.68,0
2011,8,206,2,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,293.48,0
2011,8,208,2,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,416.25,0
