"Year","Month","Plot","Strip","Achmi","Agrsm","Amocan","Andge","Asctu","Elyca","Koecr","Lesca","Liaas","Luppe","Monfi","Panvi","Petpu","Poapr","Schsc","Sornu","mean","sd"
2009,8,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,137.2725,42.4336825970832
2009,8,3,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,50.6175,17.9985101814011
2009,8,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,74.875,40.8829582466827
2009,8,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,44.5925,11.0550743439382
2009,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.875,7.22539445290013
2009,8,12,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,178.6325,41.0231046941842
2009,8,14,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,62.575,21.6374045347403
2009,8,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38.1825,18.7465841888596
2009,8,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,174.135,8.735
2009,8,24,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,41.335,28.3628317521365
2009,8,26,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,181.8,25.8026917200512
2009,8,29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,196.985,49.4368149762907
2009,8,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26.2275,6.97322871774618
2009,8,33,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,229.8925,29.3358342092057
2009,8,44,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,259.9825,107.426814011912
2009,8,48,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,212.375,51.9955750521138
2009,8,56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,286.6325,148.879238373757
2009,8,57,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,152.8,30.5580259506402
2009,8,58,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,124.2275,46.626649233566
2009,8,69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.715,45.4089713052388
2009,8,70,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,148.7675,32.1429404185429
2009,8,75,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,80.9766666666667,19.0181410471394
2009,8,81,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,133.2975,25.7807325099579
2009,8,83,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,154.6175,57.4201738829656
2009,8,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.7,18.018229657766
2009,8,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,118.6,25.3059864458985
2009,8,93,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,260.7425,38.3791143559879
2009,8,94,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,136.5775,44.0655156414855
2009,8,109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,91.43,20.8704336322943
2009,8,110,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,253.25,69.741146033027
2009,8,117,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,122.275,52.7033995582828
2009,8,125,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,189.0725,28.4056230128825
2009,8,129,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,126.51,11.2225153152045
2009,8,133,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,280.335,69.3856229704685
2009,8,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,71.9775,12.660200186016
2009,8,137,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,328.575,8.99884853745188
2009,8,138,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,304.8425,88.4119045646569
2009,8,139,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,255.375,44.4094840659065
2009,8,142,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,95.75,7.94354769608643
2009,8,157,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58.36,28.6305841714765
2009,8,163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62.365,16.0854351821765
2009,8,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,84.91,13.4061105470602
2009,8,167,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,133.135,97.3245278693917
2009,8,168,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,102.7175,38.5261582402139
2009,8,171,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,232.2675,64.4961403399459
