Achmi	Agrsm	Amocan	Andge	Asctu	Elyca	Koecr	Lesca	Liaas	Luppe	Monfi	Panvi	Petpu	Poapr	Schsc	Sornu
-0.43330598	-0.4646077	-0.031725824	-0.18575877	0.21785769	-0.19533929	-0.47552752	0.09058034	-0.004205452	0.18955836	-0.48568192	-0.71127504	-0.12880829	0.22927341	-0.22369607	-0.56064135
-0.10864857	-0.19603638	0.14063686	-0.6945995	-0.11403125	-0.47855955	-0.28456017	-0.22030331	-0.44979113	-0.21165244	-0.5825754	0.00354729	-0.007649767	0.11731847	0.11419479	-0.502701
-0.3319172	-0.087096564	0.14355753	0.08545427	0.14134817	-0.5799937	-0.7527769	-0.49711263	-0.10895749	0.13290012	-0.29365757	0.16062881	-0.1504532	-0.5673516	-0.4177143	-0.237397
-0.5238749	0.074968256	0.25180098	-0.40438384	-0.0114973355	0.08203386	0.10073151	-0.05829562	-0.26436377	-0.014833659	0.2668446	0.17151582	-0.34622514	0.121641435	0.12782902	-0.5543191
0.111703955	-0.7284609	0.25559837	0.029503733	0.037579127	0.22042848	-0.68542325	-0.03013963	-0.510133	-0.61874866	-0.38393116	-0.52597433	0.22211917	0.12133053	0.051449604	0.0763033
0.12628832	-0.45894736	-0.065329075	-0.42751214	-0.0805207	0.08703214	0.14257407	-0.5867431	0.17863426	-0.3464725	-0.22797155	0.040755223	0.12794474	0.11438001	0.009453879	-0.1953996
-0.12951672	0.04906146	0.014167759	-0.5830436	-0.50386673	-0.32359728	-0.40274447	-0.022314742	-0.24756905	-0.73547834	-0.44474125	-0.024412895	-0.12537353	-0.5807975	-0.26054242	-0.71746606
0.28353637	0.14642979	-0.25214875	0.48839554	0.16171646	0.571384	-0.083979875	0.58312035	0.12869291	0.18085597	0.19581059	0.32507852	0.033951856	0.57980573	0.39857778	-0.16512139
