Achmi	Agrsm	Amocan	Andge	Asctu	Elyca	Koecr	Lesca	Liaas	Luppe	Monfi	Panvi	Petpu	Poapr	Schsc	Sornu
0.16408259	-0.20792288	-0.32070988	-0.24620123	-0.54289377	-0.41959876	-0.71081346	-0.7350323	-0.14638937	-0.60384846	-0.61968344	-0.2861413	-0.63222015	-0.39856452	-0.46550184	0.05494256
-0.55816555	-0.052333202	-0.26958206	-0.63207614	-0.5828057	-0.3480059	-0.24503447	-0.23744978	0.1505276	-0.18320508	-0.38184926	-0.20777215	-0.29551673	-0.56225044	-0.54485846	-0.5834595
0.6837651	0.6670887	0.4409952	0.7384102	0.26124153	-0.028103825	0.13467728	-0.047618136	0.770278	0.41315806	0.88894457	0.8569577	-0.025574382	0.34014323	0.828362	0.43323544
0.5407031	0.817896	-0.13724114	0.13401037	0.6635591	0.071970485	0.8454263	-0.12535664	-0.14736201	0.40840542	0.16336665	0.343056	-0.121877074	-0.10513573	0.43512645	0.70877796
0.1868212	0.47349772	-0.21664381	0.06865699	0.45185181	-0.12830918	0.30707926	-0.13829565	0.07114138	-0.17916282	-0.03374641	0.6562402	0.085066035	-0.22725758	0.1407932	0.10852052
0.5896775	0.024741154	0.08350961	0.2502073	0.30508143	-0.038244437	0.34139505	0.779912	-0.12890989	0.6523186	0.31771594	0.40257692	-0.168292	-0.028072633	0.31805086	0.28546688
-0.5846371	-0.39337987	0.07062835	-0.3017647	-0.46379623	-0.5302837	-0.6157261	-0.6834431	-0.6254032	-0.77149695	-0.072282396	-0.6153799	-0.36295822	-0.22780085	-0.738226	-0.71437174
-0.06009511	-0.4418038	-0.40146443	-0.16351901	-0.6593019	0.08781393	-0.5279533	-0.59334964	-0.09897987	-0.59381706	0.058171045	0.1734206	-0.5558193	-0.28799537	0.17155527	0.13306798
