Achmi	Agrsm	Amocan	Andge	Asctu	Elyca	Koecr	Lesca	Liaas	Luppe	Monfi	Panvi	Petpu	Poapr	Schsc	Sornu
0.2922797	-0.0122207925	0.017180573	0.6187433	0.14490514	-0.15207775	0.42060897	0.004063605	0.43939587	0.33780602	0.45140365	0.144414	0.6499329	0.0061180177	0.44177565	0.29655626
-0.7130682	-0.42187756	-0.1195752	0.011546386	-0.7482183	-0.3601711	-0.34138316	-0.641116	-0.2093761	-0.7788127	-0.23383945	-0.40767536	-0.71336955	-0.6945341	-0.53076196	-0.28489885
0.12892933	0.8229527	0.39531532	0.6426682	0.21511182	0.33158275	0.20105417	0.52559614	0.04462882	0.74880403	-0.007987013	0.7202307	0.7371234	0.25924107	0.0010591646	0.54060984
0.013627104	-0.71857667	0.08361125	-0.027283069	0.015162651	0.009920884	0.16340777	-0.38616785	-0.41684324	-0.7756635	-0.5556784	-0.50617665	-0.43652818	0.24267048	-0.69889736	-0.12843715
-0.1989084	0.36295342	0.6556834	-0.18334845	0.46396756	0.4284061	0.79286164	0.47294095	0.07861503	0.606106	0.06980743	0.33281842	0.40865958	0.7255739	0.06208989	0.049414072
0.23598318	0.3073549	0.4864774	-0.07139494	0.5585967	0.31804115	0.2205823	-0.05044702	0.108480506	0.30965126	0.30823308	0.10304958	-0.2066131	0.2922174	-0.0024171323	-0.16154641
0.4324385	0.13039891	0.5101672	0.42727393	-0.20034997	0.16230358	0.31839296	0.33813205	-0.23464042	-0.13145582	0.026051816	0.36326423	0.25332886	0.1682103	0.38764444	-0.11018358
0.40619615	-0.033679597	0.22387122	0.36300766	-0.081664436	-0.18677963	-0.07577333	0.55069935	0.30325577	-0.10298176	0.6237642	0.7324516	0.6649501	0.3083764	0.5644045	0.2888012
