Achmi	Agrsm	Amocan	Andge	Asctu	Elyca	Koecr	Lesca	Liaas	Luppe	Monfi	Panvi	Petpu	Poapr	Schsc	Sornu
-0.05548962	0.30092055	-0.3325135	0.18171586	-0.18191087	-0.20136173	-0.27227154	-0.2221485	-0.5113695	0.19647285	-0.16033274	0.17186284	0.01861263	0.29456297	0.34124482	-0.42517686
-0.0016294696	0.19820511	0.4698014	0.32333556	-0.16712716	-0.087160535	0.79513	0.5643001	0.1358477	0.024466474	0.1562436	-0.035067923	0.0023118914	0.652839	0.23294255	-0.02573791
0.24759448	0.20612146	-0.116288684	-0.45772296	0.11321524	0.09734154	-0.03544136	-0.3519133	0.13351457	0.19627635	-0.04288607	-0.22167626	0.17215316	-0.5070294	-0.11444918	-0.110612616
0.3009275	-0.49820888	-0.4370634	-0.09020265	0.041914884	-0.07305463	0.34279588	0.1967175	-0.53274864	-0.2631111	0.22349747	-0.5015339	-0.2004973	-0.25961766	0.107361466	0.3322771
0.66920394	0.38546944	-0.002221714	-0.11792138	0.16460311	-0.1344075	0.29442257	0.03256209	0.20589587	0.56858724	0.47923508	0.65758616	-0.18948357	-0.19822386	-0.11297391	0.25221738
0.277259	0.69583684	0.72698253	-0.084850036	0.5574115	0.2527624	0.081614144	0.55078524	-0.058860216	-0.17875732	-0.11232043	0.2534853	0.19594891	0.19288325	-0.07874633	0.6139377
0.5183694	0.53676945	0.12371893	0.39811927	-0.007952502	-0.15976349	0.65757656	0.5731245	0.69394696	0.07903136	0.5310272	0.36004302	0.5795367	0.38078076	0.32118386	0.7282779
0.37118074	0.20985729	0.4029784	0.23216906	0.64769644	0.052237723	0.3373052	0.15181555	0.42113087	0.46167952	0.23355766	0.25327533	0.3670881	-0.0064774007	-0.16464634	0.620548
