Achmi	Agrsm	Amocan	Andge	Asctu	Elyca	Koecr	Lesca	Liaas	Luppe	Monfi	Panvi	Petpu	Poapr	Schsc	Sornu
0.47237363	0.5068059	0.597708	0.0809885	-0.031788945	0.29596856	0.23209345	0.009570885	0.55476534	0.68962157	0.28757092	0.043575436	0.607317	0.8325628	0.36250135	0.80843455
-0.0684429	-0.11256394	0.7230933	0.4047233	0.7671799	0.1696522	-0.067775175	0.12378301	0.31151134	0.29069063	-0.18132986	0.09179187	0.3909671	0.006351989	0.4198888	0.42932945
0.072771214	-0.12345804	-0.15873598	0.1296126	-0.4185147	-0.44504705	0.009174832	-0.031362064	0.3947032	-0.41289648	0.1121903	-0.41765288	-0.033800893	-0.13355365	0.18403606	0.02519376
0.09191853	-0.2531575	0.32027698	-0.104316205	0.033856157	0.31270432	-0.2667692	0.05597731	0.13387802	-0.21699174	-0.33712196	-0.13361657	-0.1722741	-0.15003441	0.32084337	0.119946845
-0.062595315	0.048513893	-0.3655957	-0.5051179	0.1102248	-0.030077577	0.23863465	-0.09791479	-0.32460707	0.0121663	0.12237812	-0.062388517	0.084502116	-0.024519075	-0.15837193	0.074372575
0.28158966	0.11898892	-0.33901006	-0.44410837	0.2340802	0.2444453	-0.09432576	-0.5928207	0.020177772	0.1910002	-0.0808465	-0.17776638	0.34552008	0.19369005	-0.27908605	-0.04028667
-0.077495664	-0.35017022	-0.29648194	0.027053239	0.18715161	-0.20186743	-0.029465474	-0.054619458	0.015424207	-0.1976901	0.29565844	-0.0068158777	-0.19433497	0.15220577	0.10354669	-0.38373768
0.40571254	-0.35312927	-0.42396745	-0.49360642	-0.17401299	-0.30360842	0.108880706	0.109569564	-0.27636737	-0.38072106	-0.40152764	-0.11398389	0.050129045	0.3483877	-0.12757276	-0.13921548
