Achmi	Agrsm	Amocan	Andge	Asctu	Elyca	Koecr	Lesca	Liaas	Luppe	Monfi	Panvi	Petpu	Poapr	Schsc	Sornu
-0.0013876767	0.08657054	0.15609403	0.11978075	-0.22961123	0.0024521707	-0.051544476	0.08724348	-0.44295013	-0.3998437	-0.03774708	-0.13886891	0.10682175	-0.21989408	0.15310143	-0.17608798
0.6564007	0.7964695	0.21390896	0.099073306	0.28631324	0.52329683	0.12427807	0.053705078	0.009005848	0.2009854	0.21819316	0.23432688	0.024098463	0.3357448	0.2914576	-0.22299863
0.7110435	0.6401448	0.29538026	0.09284963	0.37313855	0.29683307	0.27461615	0.53335834	0.36385247	-0.1347744	-0.19364293	0.5050295	-0.1733451	0.60486746	0.38721052	-0.06626372
0.33324862	-0.09924804	0.35686764	0.5869091	0.47623926	0.085694134	0.13231532	0.5860836	0.5964413	-0.16636966	0.35785714	-0.023111966	0.12770385	0.40307587	0.10587041	0.6538836
0.0510653	-0.0017373126	0.70918876	-0.16187507	0.45938835	0.46040216	-0.19074588	0.12050034	0.5326851	0.119767755	0.20511486	0.727801	0.68420607	0.7957746	0.014142185	0.58521986
-0.08454103	0.044502612	0.04342583	-0.41016755	-0.19471328	-0.56909996	-0.44066685	0.08919127	-0.19304186	0.22950417	-0.07533658	0.3022799	0.22781807	-0.014972098	0.052016385	0.050653275
0.3401552	-0.110870175	0.5413535	0.24312809	-0.06216568	0.33965164	0.33931434	0.8391022	0.7885609	0.023702051	0.009406626	0.4035465	0.49264145	0.19889474	0.087155335	0.61999446
0.12916686	0.15284511	-0.02432119	0.24318768	-0.12884344	0.3593501	0.06321386	0.033081543	0.033388227	-0.51183504	-0.14313677	-0.53452516	0.2775337	-0.20650233	-0.23452356	-0.46997386
