Achmi	Agrsm	Amocan	Andge	Asctu	Elyca	Koecr	Lesca	Liaas	Luppe	Monfi	Panvi	Petpu	Poapr	Schsc	Sornu
-0.73265636	-0.07416443	0.18981372	-0.59451365	-0.09345237	-0.5593005	-0.019320095	-0.3971821	-0.4509919	-0.24687164	-0.62684	-0.1498796	-0.6497247	-0.070614696	0.035963353	0.26585805
0.4678625	0.47752818	0.3968901	-0.21461274	-0.04691471	0.43373308	-0.1122367	0.60373056	0.16431682	0.16079167	0.011707797	0.51747495	-0.017691663	0.1457413	0.4504944	-0.23818606
-0.050468333	0.62875366	0.14890376	0.24173875	0.33650318	-0.16551238	0.27780995	0.66157025	0.74623394	0.38533202	0.5582363	0.32336688	-0.26460192	0.7210069	0.25107503	0.19886889
0.39583313	0.5337328	0.68691504	0.29047439	0.4038394	0.22531712	0.32513654	0.24320197	0.59500915	0.1563273	-0.20030263	0.25640786	-0.050446454	0.50937265	-0.0862619	-0.12475564
-0.48292837	0.24111456	-0.30502942	0.27337563	-0.25413722	-0.2612481	-0.72209615	-0.00086351036	-0.28753516	-0.34141585	-0.3378848	0.26379848	-0.15567128	0.22727783	0.15259294	-0.65660506
-0.5397983	-0.09922218	-0.06641272	-0.35243064	-0.06794361	-0.33640233	0.12270316	-0.37550563	-0.14026278	-0.51331854	-0.20254597	-0.36848074	0.17648819	-0.5104403	0.021081299	-0.10265456
0.35253182	0.5274436	-0.08743461	0.08796926	0.5731827	0.5364727	0.046557494	0.37752706	-0.019683026	0.15858576	0.7578403	0.50908196	0.0011313732	0.41818297	0.39563537	0.46571738
0.43700325	0.7249224	0.19140919	0.09012031	-0.07225148	0.29244626	-0.019999675	0.67625266	-0.13363957	0.4960736	0.6953421	0.20819803	0.49831188	0.43861085	0.36155447	0.64184743
