Achmi	Agrsm	Amocan	Andge	Asctu	Elyca	Koecr	Lesca	Liaas	Luppe	Monfi	Panvi	Petpu	Poapr	Schsc	Sornu
-0.19754988	-0.061114755	-0.46416357	-0.0007403004	-0.10291687	-0.40862295	0.4592314	0.42688003	0.3467145	0.40966403	0.46914852	-0.02815057	-0.55942553	0.3101146	-0.5700271	-0.30305216
-0.47709557	-0.5179197	0.40459087	-0.49053916	0.16757289	0.43274242	-0.3658882	0.40690887	0.20563485	-0.18419361	0.08907145	0.18836401	-0.056714494	0.32502583	-0.0959514	0.3426351
0.8155877	-0.09902665	-0.21886331	-0.07381736	0.704881	0.7991454	0.5471373	0.35272124	0.55833316	0.73393166	0.036664	0.20088524	0.093950704	0.16622174	-0.15739776	0.61522996
-0.3969915	0.1925078	-0.12792958	-0.39166814	0.22336619	-0.49158722	0.2585006	0.16059634	0.29825178	-0.5126581	-0.46971256	0.06597371	0.02605017	0.32853395	-0.51044345	-0.18147364
