Achmi	Agrsm	Amocan	Andge	Asctu	Elyca	Koecr	Lesca	Liaas	Luppe	Monfi	Panvi	Petpu	Poapr	Schsc	Sornu
0.24753328	0.22001366	0.002941059	-0.18158586	-0.09906536	-0.20408596	0.3691619	0.6780455	0.16591689	-0.10810573	0.18946582	0.5928254	0.29639325	0.58626276	0.5892629	-0.10982538
-0.29793224	0.73189527	0.7905069	0.20320009	-0.20871092	-0.09192804	0.23375517	-0.19303037	0.20368622	0.7920052	-0.11530777	0.67379206	0.29195485	0.6381002	0.6865583	0.6733347
-0.3256902	-0.61161745	0.20688973	-0.6988253	-0.19604105	0.017904494	0.26215366	0.03562756	-0.18216513	0.19006586	0.2622046	-0.26633415	-0.53184366	-0.048463754	0.23799704	-0.5361936
-0.09074619	-0.12915932	-0.30149958	0.12997869	0.28127357	-0.5799487	-0.6332251	-0.1971197	-0.0035720249	-0.48146048	0.023408381	-0.22889459	0.11209596	-0.7982192	-0.06828562	-0.33363625
