Achmi	Agrsm	Amocan	Andge	Asctu	Elyca	Koecr	Lesca	Liaas	Luppe	Monfi	Panvi	Petpu	Poapr	Schsc	Sornu
0.16960327	0.18618083	-0.14105281	0.50866485	0.5752481	0.04416064	-0.34661028	0.42567345	-0.01332781	0.4557047	-0.3659494	-0.15140842	-0.40620527	0.6646682	0.09326654	-0.2368431
0.8363704	-0.027449619	-0.13163823	0.047664776	0.32625133	0.2328623	-0.11882031	0.2746449	0.32711807	-0.042275388	0.20440005	0.5345668	-0.09503899	0.67113996	0.6581946	0.26413164
0.8144896	0.37629533	0.15925086	0.5564621	0.540675	0.053487025	0.11537654	-0.16376108	0.6607924	0.32788387	0.09673817	0.76151055	-0.070449606	0.2692658	-0.1707562	0.07967486
0.63531965	0.4396664	0.14260074	0.6741587	-0.19085671	0.106076345	-0.116067484	0.21069686	0.3379266	0.5210747	0.026189601	0.035785872	0.79566056	0.04392229	0.875167	0.82245266
