Achmi	Agrsm	Amocan	Andge	Asctu	Elyca	Koecr	Lesca	Liaas	Luppe	Monfi	Panvi	Petpu	Poapr	Schsc	Sornu
0.12526487	-0.12325609	0.069881976	0.10282353	-0.75490147	-0.029292999	0.21580917	-0.15826082	-0.30816808	-0.7656285	-0.7974218	0.02829572	0.007963399	-0.24326429	0.23851249	-0.5212292
0.7084066	-0.099638924	-0.16848569	0.75780153	0.7770999	0.8179174	0.3285989	0.745696	0.5421637	-0.022994382	0.41311482	0.1069191	-0.20157479	0.08726719	0.5760245	-0.26150852
0.18002208	-0.2233754	-0.50789154	-0.15250936	-0.35146305	-0.7546882	-0.061593417	-0.77896595	0.05392473	-0.60051304	-0.46356022	-0.8058763	-0.42161754	-0.7961036	-0.5344559	-0.62495375
-0.17031974	0.5705669	0.42024592	-0.17401318	-0.2143123	0.7700725	-0.18043146	0.39624366	0.06500319	0.029645836	0.030805012	0.6449975	-0.12433357	-0.11789378	-0.22552878	0.7128831
