Achmi	Agrsm	Amocan	Andge	Asctu	Elyca	Koecr	Lesca	Liaas	Luppe	Monfi	Panvi	Petpu	Poapr	Schsc	Sornu
0.47413713	0.25012067	-0.41017845	-0.020397618	-0.0853006	-0.30396676	-0.377856	0.36571473	0.1432923	-0.53321105	-0.20485736	-0.39397466	-0.19472323	0.30633152	-0.44001624	-0.3959658
0.23965238	0.040198464	0.26659012	-0.4180628	0.20752807	-0.20318057	-0.25951257	-0.045750808	0.12936385	-0.17992336	-0.34561315	0.115854114	0.17488356	-0.36448416	0.10084615	-0.11577333
0.60838735	-0.24538578	-0.017477334	0.44892976	0.11138405	0.7689946	0.6082139	0.28965908	-0.00010446075	0.7939334	-0.014080081	0.16265392	0.28686798	-0.24873902	0.34710664	0.5428532
-0.21120688	-0.3084437	0.21166721	-0.56736887	0.3342936	0.3276622	0.264858	0.16386893	-0.4635897	0.10816656	0.21190937	-0.60587084	0.14566098	0.04559996	-0.33681226	-0.5542118
