Achmi	Agrsm	Amocan	Andge	Asctu	Elyca	Koecr	Lesca	Liaas	Luppe	Monfi	Panvi	Petpu	Poapr	Schsc	Sornu
0.22686607	0.46586213	-0.35450593	-0.2874526	0.7781276	-0.2938797	0.5146889	0.40410134	-0.20281547	0.09358335	-0.036814287	0.76639897	0.45848563	0.3523189	-0.112623036	0.48310778
0.51533943	-0.048600573	0.43073234	0.33518264	0.3620366	-0.17137079	0.075511485	0.5522366	0.13380024	0.6319776	0.71961766	0.2707919	0.6750347	0.66845644	0.45611274	-0.026056979
-0.3624822	0.064262465	0.35208067	0.25119835	-0.09723882	-0.24044092	-0.09145101	-0.38713956	-0.24863894	-0.085522376	-0.11479927	0.21069154	-0.41226766	-0.2239831	0.20996572	-0.47943255
0.22710875	-0.07758457	0.3022572	0.11412611	-0.019132616	-0.14242628	-0.49429753	0.14481775	0.16306078	-0.5884741	-0.5575791	0.056163482	-0.053858645	0.32414183	0.17867514	-0.38534763
