Achmi	Agrsm	Amocan	Andge	Asctu	Elyca	Koecr	Lesca	Liaas	Luppe	Monfi	Panvi	Petpu	Poapr	Schsc	Sornu
0.29582274	-0.54136676	-0.09412291	-0.73256344	-0.58171415	-0.6046587	-0.54006064	0.08303767	-0.3413225	-0.47601694	0.17261964	-0.45498464	-0.7061302	-0.4699636	-0.1726823	0.19599146
-0.32024682	-0.41074085	-0.41546616	-0.6518391	0.1123679	-0.34389818	-0.5124555	-0.5290714	-0.024977554	0.07280186	-0.60153764	-0.23766248	-0.0153602185	-0.77330726	0.28596026	-0.36185592
-0.3799377	-0.7795702	-0.71976477	0.112722054	-0.543967	0.017500278	-0.5630974	-0.15287615	0.10313358	-0.66166425	-0.079011254	-0.78736436	-0.025506947	0.12825766	-0.031688266	-0.45267215
0.5073746	0.45719886	-0.23719281	0.65364844	-0.205491	-0.2911489	-0.13774905	-0.13785097	-0.08753775	0.18370776	-0.15569648	0.7732993	0.4599598	-0.24303637	0.18720806	0.45148265
