Achmi	Agrsm	Amocan	Andge	Asctu	Elyca	Koecr	Lesca	Liaas	Luppe	Monfi	Panvi	Petpu	Poapr	Schsc	Sornu
0.62410295	0.7477433	0.028017636	0.47682202	0.30265456	0.30937612	0.6550412	-0.11810643	0.18287498	0.2507187	-0.044073164	0.5903677	-0.062775426	0.30551675	0.5134104	-0.11717781
-0.19733082	0.39585173	0.7508764	0.23534577	-0.3035639	0.49121395	0.53100556	0.17762665	0.40928727	0.054998353	0.6114165	0.33174613	0.77626336	0.16249298	0.5050858	-0.23903999
-0.15157403	0.08446661	-0.27281708	0.711571	0.27496663	0.5549167	-0.08296876	-0.18477556	0.39837208	0.5549642	-0.18403025	-0.22302714	0.41555795	-0.25868794	0.6001214	-0.06340564
-0.009254254	0.75201946	-0.13393433	0.5134051	0.69476724	0.4751678	0.21694951	-0.16139957	0.015447649	-0.20723268	0.61774707	0.066106856	0.46647382	0.24561882	0.81160843	0.5298677
